ds,close
2021-03-01 09:00:00,57.5
2021-03-02 09:00:00,58.4
2021-03-03 09:00:00,58.0
2021-03-04 09:00:00,58.5
2021-03-05 09:00:00,57.7
2021-03-06 09:00:00,58.8
2021-03-07 09:00:00,59.3
2021-03-08 09:00:00,72.0
2021-03-09 09:00:00,66.6
2021-03-10 09:00:00,64.5
2021-03-11 09:00:00,64.1
2021-03-12 09:00:00,64.2
2021-03-13 09:00:00,73.2
2021-03-14 09:00:00,67.9
2021-03-15 09:00:00,65.9
